# Pressure coefficient results from CFL3D, Re_H=36,000, SST model
# Cp values have been shifted so that Cp is close to 0 near x/H=40
x,cp
 -3.154999924E+01, -1.219500005E-01
 -3.105800056E+01, -1.223699749E-01
 -3.057099915E+01, -1.227799952E-01
 -3.008900070E+01, -1.232000291E-01
 -2.961199951E+01, -1.236099899E-01
 -2.913999939E+01, -1.240099967E-01
 -2.867399979E+01, -1.244100034E-01
 -2.821299934E+01, -1.247999966E-01
 -2.775799942E+01, -1.251799762E-01
 -2.730699921E+01, -1.255600154E-01
 -2.686199951E+01, -1.259399951E-01
 -2.642200089E+01, -1.263100207E-01
 -2.598800087E+01, -1.266799867E-01
 -2.555800056E+01, -1.270500124E-01
 -2.513400078E+01, -1.274000108E-01
 -2.471500015E+01, -1.277600229E-01
 -2.430200005E+01, -1.281199753E-01
 -2.389299965E+01, -1.284699738E-01
 -2.348999977E+01, -1.288100183E-01
 -2.309199905E+01, -1.291500032E-01
 -2.269899940E+01, -1.294899881E-01
 -2.231100082E+01, -1.298200190E-01
 -2.192799950E+01, -1.301499903E-01
 -2.155100060E+01, -1.304700077E-01
 -2.117799950E+01, -1.307900250E-01
 -2.081100082E+01, -1.311099827E-01
 -2.044799995E+01, -1.314099729E-01
 -2.009099960E+01, -1.317199767E-01
 -1.973800087E+01, -1.320200264E-01
 -1.939100075E+01, -1.323200166E-01
 -1.904800034E+01, -1.326099932E-01
 -1.870999908E+01, -1.329000294E-01
 -1.837700081E+01, -1.332000196E-01
 -1.804800034E+01, -1.334799826E-01
 -1.772500038E+01, -1.337600052E-01
 -1.740600014E+01, -1.340300143E-01
 -1.709199905E+01, -1.343099773E-01
 -1.678199959E+01, -1.345799863E-01
 -1.647699928E+01, -1.348499954E-01
 -1.617700005E+01, -1.351200044E-01
 -1.588099957E+01, -1.353799999E-01
 -1.558899975E+01, -1.356299818E-01
 -1.530200005E+01, -1.358899772E-01
 -1.501900005E+01, -1.361400187E-01
 -1.474100018E+01, -1.364000142E-01
 -1.446700001E+01, -1.366399825E-01
 -1.419699955E+01, -1.368900239E-01
 -1.393099976E+01, -1.371299922E-01
 -1.367000008E+01, -1.373700202E-01
 -1.341199970E+01, -1.376099885E-01
 -1.315900040E+01, -1.378500164E-01
 -1.290999985E+01, -1.380800307E-01
 -1.266499996E+01, -1.383199990E-01
 -1.242300034E+01, -1.385500133E-01
 -1.218599987E+01, -1.387800276E-01
 -1.195199966E+01, -1.390199959E-01
 -1.172200012E+01, -1.392500103E-01
 -1.149600029E+01, -1.394800246E-01
 -1.127400017E+01, -1.397099793E-01
 -1.105500031E+01, -1.399399936E-01
 -1.084000015E+01, -1.401700079E-01
 -1.062800026E+01, -1.404000223E-01
 -1.042000008E+01, -1.406299770E-01
 -1.021599960E+01, -1.408599913E-01
 -1.001399994E+01, -1.411000192E-01
 -9.816599846E+00, -1.413299739E-01
 -9.622099876E+00, -1.415599883E-01
 -9.430899620E+00, -1.418000162E-01
 -9.243000031E+00, -1.420300305E-01
 -9.058300018E+00, -1.422599852E-01
 -8.876700401E+00, -1.425000131E-01
 -8.698300362E+00, -1.427399814E-01
 -8.522899628E+00, -1.429800093E-01
 -8.350500107E+00, -1.432199776E-01
 -8.181099892E+00, -1.434700191E-01
 -8.014699936E+00, -1.437200010E-01
 -7.851099968E+00, -1.439600289E-01
 -7.690400124E+00, -1.442200243E-01
 -7.532499790E+00, -1.444700062E-01
 -7.377399921E+00, -1.447300017E-01
 -7.224999905E+00, -1.449899971E-01
 -7.075300217E+00, -1.452499926E-01
 -6.928199768E+00, -1.455099881E-01
 -6.783800125E+00, -1.457799971E-01
 -6.641900063E+00, -1.460500062E-01
 -6.502500057E+00, -1.463300288E-01
 -6.365600109E+00, -1.465999782E-01
 -6.231200218E+00, -1.468800008E-01
 -6.099100113E+00, -1.471699774E-01
 -5.969500065E+00, -1.474600136E-01
 -5.842100143E+00, -1.477499902E-01
 -5.717100143E+00, -1.480400264E-01
 -5.594299793E+00, -1.483400166E-01
 -5.473800182E+00, -1.486299932E-01
 -5.355400085E+00, -1.489399970E-01
 -5.239200115E+00, -1.492500007E-01
 -5.125100136E+00, -1.495600045E-01
 -5.013100147E+00, -1.498700082E-01
 -4.903100014E+00, -1.501900256E-01
 -4.795100212E+00, -1.505199969E-01
 -4.689199924E+00, -1.508400142E-01
 -4.585100174E+00, -1.511699855E-01
 -4.482999802E+00, -1.515100300E-01
 -4.382800102E+00, -1.518400013E-01
 -4.284399986E+00, -1.521899998E-01
 -4.187799931E+00, -1.525299847E-01
 -4.092999935E+00, -1.528899968E-01
 -4.000000000E+00, -1.530700028E-01
 -4.000000000E+00, -1.534300148E-01
 -3.907900095E+00, -1.536000073E-01
 -3.817899942E+00, -1.539600194E-01
 -3.729700089E+00, -1.543200314E-01
 -3.643599987E+00, -1.546899974E-01
 -3.559299946E+00, -1.550500095E-01
 -3.476799965E+00, -1.554199755E-01
 -3.396100044E+00, -1.558000147E-01
 -3.317199945E+00, -1.561699808E-01
 -3.239900112E+00, -1.565500200E-01
 -3.164400101E+00, -1.569299996E-01
 -3.090399981E+00, -1.573099792E-01
 -3.018100023E+00, -1.576999724E-01
 -2.947299957E+00, -1.580900252E-01
 -2.878000021E+00, -1.584700048E-01
 -2.810199976E+00, -1.588599980E-01
 -2.743900061E+00, -1.592600048E-01
 -2.678900003E+00, -1.596499979E-01
 -2.615400076E+00, -1.600399911E-01
 -2.553100109E+00, -1.604399979E-01
 -2.492300034E+00, -1.608400047E-01
 -2.432600021E+00, -1.612400115E-01
 -2.374300003E+00, -1.616400182E-01
 -2.317100048E+00, -1.620400250E-01
 -2.261199951E+00, -1.624499857E-01
 -2.206399918E+00, -1.628600061E-01
 -2.152699947E+00, -1.632700264E-01
 -2.100199938E+00, -1.636699736E-01
 -2.048700094E+00, -1.640799940E-01
 -1.998299956E+00, -1.645000279E-01
 -1.949000001E+00, -1.648999751E-01
 -1.900599957E+00, -1.653200090E-01
 -1.853199959E+00, -1.657300293E-01
 -1.806699991E+00, -1.661500037E-01
 -1.761199951E+00, -1.665600240E-01
 -1.716599941E+00, -1.669799984E-01
 -1.672899961E+00, -1.673999727E-01
 -1.629999995E+00, -1.678200066E-01
 -1.588000059E+00, -1.682399809E-01
 -1.546800017E+00, -1.686700284E-01
 -1.506399989E+00, -1.690900028E-01
 -1.466799974E+00, -1.695199907E-01
 -1.427899957E+00, -1.699499786E-01
 -1.389700055E+00, -1.703800261E-01
 -1.352300048E+00, -1.708000004E-01
 -1.315600038E+00, -1.712299883E-01
 -1.279500008E+00, -1.716699898E-01
 -1.244099975E+00, -1.721099913E-01
 -1.209300041E+00, -1.725399792E-01
 -1.175199986E+00, -1.729799807E-01
 -1.141700029E+00, -1.734199822E-01
 -1.108700037E+00, -1.738699973E-01
 -1.076400042E+00, -1.743099988E-01
 -1.044499993E+00, -1.747600138E-01
 -1.013299942E+00, -1.752100289E-01
 -9.825000167E-01, -1.756599844E-01
 -9.522399902E-01, -1.761200130E-01
 -9.224799871E-01, -1.765799820E-01
 -8.931900263E-01, -1.770500243E-01
 -8.643599749E-01, -1.775200069E-01
 -8.359699845E-01, -1.779899895E-01
 -8.080199957E-01, -1.784699857E-01
 -7.804800272E-01, -1.789499819E-01
 -7.533400059E-01, -1.794399917E-01
 -7.265899777E-01, -1.799400151E-01
 -7.002099752E-01, -1.804300249E-01
 -6.741999984E-01, -1.809400022E-01
 -6.485300064E-01, -1.814599931E-01
 -6.231899858E-01, -1.819700301E-01
 -5.981799960E-01, -1.824999750E-01
 -5.734699965E-01, -1.830500066E-01
 -5.490599871E-01, -1.835999787E-01
 -5.249300003E-01, -1.841600239E-01
 -5.010700226E-01, -1.847300231E-01
 -4.774700105E-01, -1.853199899E-01
 -4.541200101E-01, -1.859200299E-01
 -4.309999943E-01, -1.865399778E-01
 -4.081000090E-01, -1.871800125E-01
 -3.854100108E-01, -1.878400147E-01
 -3.629199862E-01, -1.885199845E-01
 -3.406099975E-01, -1.892299950E-01
 -3.184800148E-01, -1.899699867E-01
 -2.965199947E-01, -1.907300055E-01
 -2.746999860E-01, -1.915300190E-01
 -2.530300021E-01, -1.923700273E-01
 -2.314900011E-01, -1.932400167E-01
 -2.100699991E-01, -1.941700280E-01
 -1.887599975E-01, -1.951700151E-01
 -1.675399989E-01, -1.963100135E-01
 -1.464100033E-01, -1.976800263E-01
 -1.253499985E-01, -1.993500292E-01
 -1.043599993E-01, -2.014199793E-01
 -8.342599869E-02, -2.037099898E-01
 -6.253200024E-02, -2.064100206E-01
 -4.166999832E-02, -2.079699934E-01
 -2.082999982E-02, -2.136799991E-01
 0.000000000E+00, -2.194000185E-01
 0.000000000E+00, -1.964299977E-01
 2.083300054E-02, -1.963900030E-01
 4.166699946E-02, -1.963699758E-01
 6.250000000E-02, -1.963900030E-01
 8.333300054E-02, -1.964199841E-01
 1.041700020E-01, -1.964400113E-01
 1.250000000E-01, -1.964500248E-01
