# Turbulence results from CFL3D, Re_H=36,000, SST model
# Note: computed results were quasi-steady
# Note: extraction at x/H=-4 was at nearest cell-center
x,y,uv
-3.953960419E+00, 2.460346222E+00, -1.220256127E-05
-3.953960419E+00, 2.538095474E+00, -2.675004680E-07
-3.953960419E+00, 2.618952990E+00, 1.913244452E-09
-3.953960419E+00, 2.702934742E+00, 5.079155985E-10
-3.953960419E+00, 2.790044785E+00, 4.948407795E-10
-3.953960419E+00, 2.880274057E+00, 5.021002503E-10
-3.953960419E+00, 2.973600626E+00, 5.126246649E-10
-3.953960419E+00, 3.069987059E+00, 5.214898513E-10
-3.953960419E+00, 3.169380903E+00, 5.300604955E-10
-3.953960419E+00, 3.271713972E+00, 5.377234769E-10
-3.953960419E+00, 3.376901865E+00, 5.445946472E-10
-3.953960419E+00, 3.484843016E+00, 5.505455536E-10
-3.953960419E+00, 3.595419168E+00, 5.555410021E-10
-3.953960419E+00, 3.708495617E+00, 5.595265362E-10
-3.953960419E+00, 3.823920965E+00, 5.624661292E-10
-3.953960419E+00, 3.941527367E+00, 5.643317480E-10
-3.953960419E+00, 4.061131954E+00, 5.651071278E-10
-3.953960419E+00, 4.182537556E+00, 5.647871060E-10
-3.953960419E+00, 4.305533409E+00, 5.633777889E-10
-3.953960419E+00, 4.429896355E+00, 5.608963849E-10
-3.953960419E+00, 4.555392742E+00, 5.573702611E-10
-3.953960419E+00, 4.681780815E+00, 5.528366653E-10
-3.953960419E+00, 4.808810234E+00, 5.473413944E-10
-3.953960419E+00, 4.936226845E+00, 5.409380166E-10
-3.953960419E+00, 5.063773155E+00, 5.336865949E-10
-3.953960419E+00, 5.191189766E+00, 5.256524105E-10
-3.953960419E+00, 5.318219185E+00, 5.169047967E-10
-3.953960419E+00, 5.444607258E+00, 5.075160847E-10
-3.953960419E+00, 5.570103645E+00, 4.975599377E-10
-3.953960419E+00, 5.694466591E+00, 4.871109072E-10
-3.953960419E+00, 5.817462444E+00, 4.762429340E-10
-3.953960419E+00, 5.938868046E+00, 4.650286267E-10
-3.953960419E+00, 6.058472633E+00, 4.535385678E-10
-3.953960419E+00, 6.176079273E+00, 4.418405641E-10
-3.953960419E+00, 6.291504383E+00, 4.299990641E-10
-3.953960419E+00, 6.404580593E+00, 4.180753521E-10
-3.953960419E+00, 6.515157223E+00, 4.061249392E-10
-3.953960419E+00, 6.623098373E+00, 3.942047799E-10
-3.953960419E+00, 6.728285789E+00, 3.823524830E-10
-3.953960419E+00, 6.830619335E+00, 3.706391027E-10
