# Velocity results from CFL3D, Re_H=36,000, SST model
# Note: computed results were quasi-steady
x,y,u
-4.000000000E+00, 2.498446703E+00, 9.996206164E-01
-4.000000000E+00, 2.577744484E+00, 1.000374436E+00
-4.000000000E+00, 2.660161495E+00, 1.000290751E+00
-4.000000000E+00, 2.745707989E+00, 1.000185609E+00
-4.000000000E+00, 2.834381342E+00, 1.000073314E+00
-4.000000000E+00, 2.926166773E+00, 9.999558926E-01
-4.000000000E+00, 3.021034241E+00, 9.998317361E-01
-4.000000000E+00, 3.118939638E+00, 9.997013211E-01
-4.000000000E+00, 3.219822168E+00, 9.995646477E-01
-4.000000000E+00, 3.323605776E+00, 9.994222522E-01
-4.000000000E+00, 3.430197716E+00, 9.992740154E-01
-4.000000000E+00, 3.539488077E+00, 9.991202354E-01
-4.000000000E+00, 3.651350260E+00, 9.989613891E-01
-4.000000000E+00, 3.765640974E+00, 9.987980127E-01
-4.000000000E+00, 3.882200718E+00, 9.986303449E-01
-4.000000000E+00, 4.000854015E+00, 9.984591007E-01
-4.000000000E+00, 4.121410370E+00, 9.982848167E-01
-4.000000000E+00, 4.243665218E+00, 9.981081486E-01
-4.000000000E+00, 4.367401600E+00, 9.979297519E-01
-4.000000000E+00, 4.492391109E+00, 9.977502823E-01
-4.000000000E+00, 4.618394852E+00, 9.975706339E-01
-4.000000000E+00, 4.745166302E+00, 9.973910451E-01
-4.000000000E+00, 4.872453690E+00, 9.972126484E-01
-4.000000000E+00, 5.000000000E+00, 9.970358610E-01
-4.000000000E+00, 5.127546310E+00, 9.968613982E-01
-4.000000000E+00, 5.254833698E+00, 9.966899157E-01
-4.000000000E+00, 5.381605148E+00, 9.965218902E-01
-4.000000000E+00, 5.507608891E+00, 9.963579774E-01
-4.000000000E+00, 5.632598400E+00, 9.961984158E-01
-4.000000000E+00, 5.756334782E+00, 9.960438609E-01
-4.000000000E+00, 5.878589630E+00, 9.958943725E-01
-4.000000000E+00, 5.999145985E+00, 9.957505465E-01
-4.000000000E+00, 6.117799282E+00, 9.956124425E-01
-4.000000000E+00, 6.234358788E+00, 9.954801798E-01
-4.000000000E+00, 6.348649502E+00, 9.953539968E-01
-4.000000000E+00, 6.460511684E+00, 9.952338934E-01
-4.000000000E+00, 6.569802284E+00, 9.951199293E-01
